ERROR:root:perl-PathTools perl-PathTools-0:3.40-5.ael7b.src Have srpm name repo, no release_id(rhel-le-7.1) branch.
ERROR:root:perl-File-Fetch perl-File-Fetch-0:0.42-2.ael7b.src Have srpm name repo, no release_id(rhel-le-7.1) branch.
ERROR:root:ldns ldns-0:1.6.16-7.ael7b.src Have srpm name repo, no release_id(rhel-le-7.1) branch.
ERROR:root:perl-SGMLSpm perl-SGMLSpm-0:1.03ii-31.ael7b.src Have srpm name repo, no release_id(rhel-le-7.1) branch.
ERROR:root:mod_auth_kerb mod_auth_kerb-0:5.4-28.ael7b.src Have srpm name repo, no release_id(rhel-le-7.1) branch.
ERROR:root:libnl libnl-0:1.1.4-3.ael7b.src Have srpm name repo, no release_id(rhel-le-7.1) branch.
ERROR:root:qjson qjson-0:0.8.1-4.ael7b.src Have srpm name repo, no release_id(rhel-le-7.1) branch.
ERROR:root:alsa-plugins alsa-plugins-0:1.0.27-3.ael7b.src Have srpm name repo, no release_id(rhel-le-7.1) branch.
ERROR:root:raptor2 raptor2-0:2.0.9-3.ael7b.src Have srpm name repo, no release_id(rhel-le-7.1) branch.
ERROR:root:gdm gdm-1:3.8.4-32.ael7b.src Have srpm name repo, no release_id(rhel-le-7.1) branch.
ERROR:root:augeas augeas-0:1.1.0-17.ael7b.src Have srpm name repo, no release_id(rhel-le-7.1) branch.
ERROR:root:mariadb mariadb-1:5.5.41-2.ael7b.src Have srpm name repo, no release_id(rhel-le-7.1) branch.
ERROR:root:os-prober os-prober-0:1.58-5.ael7b.src Have srpm name repo, no release_id(rhel-le-7.1) branch.
ERROR:root:upower upower-0:0.9.20-7.ael7b.src Have srpm name repo, no release_id(rhel-le-7.1) branch.
ERROR:root:perl-LWP-MediaTypes perl-LWP-MediaTypes-0:6.02-2.ael7b.src Have srpm name repo, no release_id(rhel-le-7.1) branch.
ERROR:root:linux-firmware linux-firmware-0:20140911-0.1.git365e80c.ael7b.src Have srpm name repo, no release_id(rhel-le-7.1) branch.
ERROR:root:network-manager-applet network-manager-applet-0:1.0.0-2.git20150122.76569a46.ael7b.src Have srpm name repo, no release_id(rhel-le-7.1) branch.
ERROR:root:easymock2 easymock2-0:2.5.2-12.ael7b.src Have srpm name repo, no release_id(rhel-le-7.1) branch.
ERROR:root:usb_modeswitch-data usb_modeswitch-data-0:20130807-2.ael7b.src Have srpm name repo, no release_id(rhel-le-7.1) branch.
ERROR:root:attica attica-0:0.4.1-4.ael7b.src Have srpm name repo, no release_id(rhel-le-7.1) branch.
ERROR:root:kmix kmix-0:4.10.5-4.ael7b.src Have srpm name repo, no release_id(rhel-le-7.1) branch.
ERROR:root:perl-Socket6 perl-Socket6-0:0.23-15.ael7b.src Have srpm name repo, no release_id(rhel-le-7.1) branch.
ERROR:root:symlinks symlinks-0:1.4-9.ael7b.src Have srpm name repo, no release_id(rhel-le-7.1) branch.
ERROR:root:gnome-weather gnome-weather-0:3.8.2-4.ael7b.src Have srpm name repo, no release_id(rhel-le-7.1) branch.
ERROR:root:hunspell-af hunspell-af-0:0.20080825-8.ael7b.src Have srpm name repo, no release_id(rhel-le-7.1) branch.
ERROR:root:hunspell-gu hunspell-gu-0:20061015-11.ael7b.src Have srpm name repo, no release_id(rhel-le-7.1) branch.
ERROR:root:selinux-policy selinux-policy-0:3.13.1-23.ael7b.src Have srpm name repo, no release_id(rhel-le-7.1) branch.
ERROR:root:perl-Carp-Clan perl-Carp-Clan-0:6.04-10.ael7b.src Have srpm name repo, no release_id(rhel-le-7.1) branch.
ERROR:root:rasqal rasqal-0:0.9.30-4.ael7b.src Have srpm name repo, no release_id(rhel-le-7.1) branch.
ERROR:root:perl-Getopt-Long perl-Getopt-Long-0:2.40-2.ael7b.src Have srpm name repo, no release_id(rhel-le-7.1) branch.
ERROR:root:sudo sudo-0:1.8.6p7-13.ael7b.src Have srpm name repo, no release_id(rhel-le-7.1) branch.
ERROR:root:system-config-firewall system-config-firewall-0:1.2.29-10.ael7b.src Have srpm name repo, no release_id(rhel-le-7.1) branch.
